Customer_ID,product_id,comment,time_use,cmt_id
247,61,,Đánh giá vào 1 năm trước Đã dùng 2 giờ,259
248,61,Chốt Đơn 12-14.12 & Chia sẻ lên mạng xã hội để nhận cơ hội có voucher 500K ĐƠN TỪ 0Đ*! _ CHỉ 11.11_ Voucher đến 500K áp dụng cho 12.12. Giảm thật nhiều với voucher,Đánh giá vào 2 năm trước Đã dùng 1 ngày,260
249,61,Cảm ơn tiki. Đc rất nhiều quà tặng nữa ạ,Đánh giá vào 1 năm trước Đã dùng 20 phút,261
250,61,"dịch nên giao hàng khá là lâu, đóng gói sản phẩm ổn, hộp hơi bị móp méo nhưng bên trong còn nguyên, date còn xa",Đánh giá vào 2 năm trước Đã dùng 6 giờ,262
251,61,"laneige mình rất thích, trước đây hay mua của lazamail, lần này mua thử của tiki với giá rẻ hơn 863k đc 1 lọ 50ml dc tặng 5 lọ nhỏ 10 ml nha",Đánh giá vào 2 năm trước Đã dùng 3 giờ,263
252,61,"Đóng gói kỹ, giao hàng siêu nhanh, sản phẩm chất lượng, còn được mua 1 tặng 1 với giá 815k thôi siêu thích. Cảm ơn tiki và shop rất nhiều",Đánh giá vào 2 năm trước Đã dùng 1 ngày,264
253,61,Quà tặng là bình giữ nhiệt siêu dễ thương. Mình dùng làm quà tặng 20/10 🥰,Đánh giá vào 2 năm trước Đã dùng 1 ngày,265
254,61,rất chất lượng. chỉ là giao hàng hơn 1tháng chưa tới. khiếu nại cả chục lần. nhưng hàng thì quá tốt. nên ráng nén cục tức xuống,Đánh giá vào 2 năm trước Đã dùng 1 ngày,266
255,61,"Hàng tốt hịn đẹp chưa sử dụng nên chưa rõ, được tặng thêm 5 hũ nhỏ bằng 1 hũ lớn. Săn sale hời quá",Đánh giá vào 2 năm trước Đã dùng 5 giờ,267
256,61,"Nhận hàng rồi nhưng chưa sử dụng, ngại chụp nên dùng tạm ảnh này",Đánh giá vào 2 năm trước Đã dùng 6 ngày,268
257,62," Dịch COVID-19 đang diễn biến rất phức tạp, khó lường. Mỗi người dân cần phải cảnh giác cao độ; chấp hành nghiêm quy định về giãn cách; tuyệt đối tuân thủ và thực hiện đầy đủ các biện pháp 5k, các hướng... Xem thêm",Đánh giá vào 2 năm trước Đã dùng 11 ngày,269
258,62,"hàng chính hãng,mới toanh,date xa còn đc tặng sữa tắm,yêu tiki lắm,mong có mã freeship để đc shopping ở tiki,nơi uy tín số 1,ko đâu bằng,hình mang tc nhận xu ạ,sp đẹp nên lo cất rồi sợ mất ấy hihi",Đánh giá vào 3 năm trước Đã dùng 4 giờ,270
259,62," Hộp to, đúng hai loại ngày và đêm. Giao hàng siêu nhanh.
Sau khi mua ở các sàn khác (giao hàng mất cả tuần, có khi quên cả mình đã đặt hàng) thì vẫn quay lại Tiki. Món này mình đặt trưa, chiều đã giao... Xem thêm",Đánh giá vào 3 tháng trước Đã dùng 26 phút,271
260,62,"Shop chuẩn bị hàng siêu nhanh, giao hàng cũng nhanh. Đặt chiều hôm qua sáng nay đã nhận được rồi",Đánh giá vào 2 năm trước Đã dùng 1 giờ,272
261,62,tuyệt vời và ok,Đánh giá vào 2 năm trước Đã dùng 1 ngày,273
262,62,"Nhãn của cái ban đêm dán bị xéo nên cũng hơi quan ngại. 
Tuy nhiên thì trộm vía vẫn chưa thấy có vấn đề sau khi sử dụng.",Đánh giá vào 8 tháng trước Đã dùng 1 ngày,274
263,62,tiki giao hang nhanh . sản phẩm thì cũng ok . lần sau lại ghé mua tiếp.,Đánh giá vào 3 năm trước Đã dùng 1 ngày,275
264,62,"Săn sale trên Tiki giá rẻ hơn ở siêu thị rất nhiều
Giao hàng siêu nhanh
Anh shipper Tiki cực dễ thương
Trải nghiệm mua sắm ở Tiki vẫn là rất khác bọt",Đánh giá vào 1 năm trước Đã dùng 10 giờ,276
265,62," Điểm cốt lõi trong hoạt động tiếp thị của Apple được giới chuyên môn đánh giá cao và ví chúng tương tự một ""củ hành tây"" vậy. Sỡ dĩ Apple được ví như vậy vì họ rất thuần thục trong việc kết hợp từng lớp... Xem thêm",Đánh giá vào 3 năm trước Đã dùng 12 ngày,277
266,62," Mình đã dùng qua Pond's ban đêm loại 30g thấy ok nên lần này mua luôn cả đôi và thấy loại ban ngày dùng cũng tốt, chất kem hơi ánh kim, bôi lên da cảm giác như có phấn trong kem, không bị bóng dầu mà... Xem thêm",Đánh giá vào 4 năm trước Đã dùng 3 giờ,278
267,62,❤️❣️❣️❤️❣️❣️❤️❣️❣️❤️❤️,Đánh giá vào 2 năm trước Đã dùng 1 ngày,279
268,62,Giao hàng nhanh. Đóng gói cẩn thận. Mình dùng pons lâu rồi và loại khác chứ không phải loại này. Hi vọng dùng ok. Xin cảm ơn shop.,Đánh giá vào 1 năm trước Đã dùng 7 phút,280
269,62,"Hàng ok,giao hàng nhanh,chưa dùng nên chưa biết có tốt ko.vẫn cho 5sao.",Đánh giá vào 1 tháng trước Đã dùng 1 giờ,281
270,62,hạn sử dụng dài nhưng đóng gói sản phẩm bị móp méo. tuy nhiên sản phẩm k việc gì mong shop chú ý khâu đóng gói ạ. vì đc tặng 5 gói nhỏ nên cho shop 5* nha,Đánh giá vào 2 năm trước Đã dùng 2 phút,282
271,62,"Sản phẩm đóng gói cẩn thận, mới, date xa
Giao hàng nhanh, shipper thân thiện",Đánh giá vào 4 tháng trước Đã dùng 24 phút,283
272,62,Mua hàng của tiki lúc nào cũng hài lòng hết á.về mọi mặt.còn sản phẫm pons này thì mình mới dùng Lần đầu tiên nên chưa biết thế nào.,Đánh giá vào 5 tháng trước Đã dùng 1 giờ,284
273,62,Mô tả là hàng Indonesia. Hộp thì sản xuất Thái lan.. Hsd dài. Ok,Đánh giá vào 3 năm trước Đã dùng 11 giờ,285
274,62,"Đóng gói đàng hoàng, chất kem tốt",Đánh giá vào 1 năm trước Đã dùng 1 ngày,286
275,62,kem thơm mịn dùng thích lắm sẽ ủng hộ Shop tiếp 💯💯💯💯💯💯💯😌😌😌😌😌😛😌😃😃💓💓💓💓💓💯🤣👃😅☺️🤩😍😍💓,Đánh giá vào 2 năm trước Đã dùng 13 ngày,287
276,62, mình vừa nhận được hàng. mình mới đặt tối hôm qua mà trưa nay đã nhận được rồi. tiki đóng hàng rất cẩn thận mình đã  mua 4 hộp. lúc đặt hàng cứ lo sợ giảm giá hàng cũ nhưng mà ngược lại gàng mới toanh... Xem thêm,Đánh giá vào 4 năm trước Đã dùng 1 giờ,288
